章節,題號,題目,選項(A),選項(B),選項(C),選項(D),正確答案
第二章 基礎飛行原理,95,無人飛機水平尾翼包括下列哪些物件？,固定的升降舵和可動的水平安定面。,固定的水平安定面和可動的升降舵。,固定的升降舵和水平安定面。,可動的升降舵和水平安定面。,B
第二章 基礎飛行原理,96,無人飛機垂直尾翼包括下列哪些物件？,固定的方向舵和可動的垂直安定面。,固定的垂直安定面和可動的方向舵。,固定的方向舵和垂直安定面。,可動的方向舵和垂直安定面。,B
第二章 基礎飛行原理,97,無人飛機的起落架大都由下列哪些物件組成？,減震支柱和機輪。,蒙皮和鉚釘。,坡頂桁架和平行弦桁架。,拉力元件和扭力元件。,A
第二章 基礎飛行原理,98,起落架的作用是在下列哪個時機支撐無人飛機 ?,起飛時。,著陸滑跑時。,地面滑行和停放時。,以上皆是。,D
第二章 基礎飛行原理,99,動力系統主要用來產生使遙控無人機前進的下列哪些力？,重力與升力。,重力與阻力。,拉力和推力。,升力與阻力。,C
第二章 基礎飛行原理,100,無人飛機常見的動力系統有下列哪個項目？,航空活塞式發動機加螺旋槳推進器。,渦輪噴氣發動機。,渦輪螺旋槳發動機和渦輪扇或導風扇發動機。,以上皆是。,D
第二章 基礎飛行原理,101,無人飛機上通常不會安裝下列哪種設備？,飛行儀表。,通訊設備、導航設備。,安全設備。,以上皆是。,A
第二章 基礎飛行原理,102,操作人操作油門和操縱桿，控制無人機的操縱面，來達到所想要的下列哪個目的？,飛行姿態。,發動機溫度。,環境濕度。,酬載功能。,A
第二章 基礎飛行原理,103,想像為一條由前往後穿過航空器的軸，稱之為下列哪個軸？,航空器縱軸( X軸) 。,航空器橫軸( Y軸) 。,航空器垂直軸( Z軸) 。,以上皆非。,A
第二章 基礎飛行原理,104,除了副翼，航空器的下列哪個組件對於航空器的滾轉也會有影響？,升降舵。,襟翼。,方向舵。,小翼。,C
第二章 基礎飛行原理,105,想像為一條上下兩面垂直地穿過航空器的軸，稱之為下列哪個軸？,航空器垂直軸( Z軸) 。,航空器縱軸( X軸) 。,航空器橫軸( Y軸) 。,以上皆非。,A
第二章 基礎飛行原理,106,關於遙控無人機的的操作原理，我們首要了解遙控無人飛機的下列哪種特性？,平衡性。,穩定性。,操縱性。,以上皆是。,D
第二章 基礎飛行原理,107,遙控無人機處於平衡狀態時，是表示下列哪種狀況？,其速度的大小和方向都保持不變。,其發動機的轉速和馬力都保持不變。,其所有翼面的角度和方向都保持不變。,其酬載的方向和功能都保持不變。,A
第二章 基礎飛行原理,108,遙控無人機穩定性的強弱，一般由下列哪個現象來衡量？,擺動衰減時間。,擺動幅度。,擺動次數。,以上皆是。,D
第二章 基礎飛行原理,109,遙控無人機的穩定性強，表示下列哪個現象？,擺動衰減時間短。,擺動幅度小。,擺動次數少。,以上皆是。,D
第二章 基礎飛行原理,110,遙控無人機穩定性的強弱，主要取決於遙控無人機的下列哪個特性？,重心位置。,飛行速度和高度。,攻角的變化。,以上皆是。,D
第二章 基礎飛行原理,111,遙控無人機在操作人操縱升降舵、方向舵和副翼下改變其飛行狀態的俯仰、方向和橫向 之特性，是指遙控無人機的下列哪種特性？,操縱性。,平衡性。,穩定性。,以上皆非。,A
第二章 基礎飛行原理,112,遙控無人機操縱性好，表示下列哪個現象？,操縱動作簡單。,操縱省力。,操縱反應快。,以上皆是。,D
第二章 基礎飛行原理,113,遙控無人機操作有哪四大基本動作？,平直飛行、側滑、爬升、下降。,平直飛行、轉彎、爬升、倒飛。,平直飛行、轉彎、爬升、下降。,平直飛行、側滑、懸停、倒飛。,C
第二章 基礎飛行原理,114,操作遙控無人飛機時，當副翼控制右上左下，機體相對於「機體中心」作下列哪種動 作？,向上俯仰。,右偏航。,右滾。,左滾。,C
第二章 基礎飛行原理,115,操作遙控無人飛機時，當副翼控制右下左上，機體相對於「機體中心」作下列哪種動 作？,向上俯仰。,右偏航。,左滾。,右滾。,C
第二章 基礎飛行原理,116,操作遙控無人飛機時，當方向舵控制往右，機體相對於「機體中心」作下列哪種動作？,向上俯仰。,右偏航。,左偏航。,右滾。,B
第二章 基礎飛行原理,117,操作遙控無人飛機時，當方向舵控制往左，機體相對於「機體中心」作下列哪種動作？,右滾。,左偏航。,右偏航。,左滾。,B
第二章 基礎飛行原理,118,控制遙控無人機時，操作人應以相對於下列哪個項目來思考「上」 、 「下」 、 「左」 、 「右」？,機體中心。,地平面。,操作人自己的虛擬座標。,以上皆是。,A
第二章 基礎飛行原理,119,無人直昇機，其主旋翼在旋轉時主要產生下列哪種力？,向上的升力。,向下的升力。,向前的升力。,向後的升力。,A
第二章 基礎飛行原理,120,無人直昇機主旋翼產生升力的原理，類似於下列哪個原理？,無人飛機機翼產生升力的原理。,螺旋槳產生推力的原理。,以上皆是。,以上皆非。,C
第二章 基礎飛行原理,121,若無人直昇機主旋翼的旋轉面保持在水平位置，則所產生的力是下列哪個方向？,垂直向下。,垂直向上。,傾斜向下。,傾斜向上。,B
第二章 基礎飛行原理,122,無人直昇機利用主旋翼產生升力的原理執行下列哪些動作？,起飛離地。,爬升。,懸停。,以上皆是。,D
第二章 基礎飛行原理,123,如果升力與推力大於重力與阻力，遙控無人機的運動方向是下列哪個方向？,垂直向上。,垂直向下。,傾斜向上。,傾斜向下。,A
第二章 基礎飛行原理,124,無人直昇機主旋翼的槳葉片的俯仰角愈大，就會有下列哪種情形？,升力愈大，扭力愈小。,升力愈大，扭力也愈大。,升力愈小，也扭力愈小。,升力愈小，扭力愈大。,B
第二章 基礎飛行原理,125,無人直昇機的尾旋翼主要功能為何？,抵消升力，控制機頭方向。,抵消阻力，控制機頭方向。,抵消扭力，控制機頭方向。,抵消重力，控制機頭方向。,C
第二章 基礎飛行原理,126,無人直昇機有下列哪些基本飛行動作？,平直飛行。,轉彎。,爬升及下降。,以上皆是。,D
第二章 基礎飛行原理,127,無人直昇機「垂直起飛到懸停」 ，係指垂直飛離地面約 2~3呎，並保持下列哪種狀態？,航向不變。,向左的傾斜狀態。,向右的傾斜狀態。,主旋翼轉速不變。,A
第二章 基礎飛行原理,128,無人直昇機「懸停轉彎」 ，係指在懸停高度執行機鼻向左轉或向右轉，並保持下列哪種狀 態不變？,相對於其他遙控無人直昇機的位置。,相對於地面的位置。,相對於最低雲層的位置。,以上皆是。,B
第二章 基礎飛行原理,129,無人直昇機「懸停轉彎」 ，係指保持不變的下列哪種狀態？,高度。,轉彎率。,轉速。,以上皆是。,D
第二章 基礎飛行原理,130,無人直昇機向前移動到另一特定位置，稱之為無人直昇機的下列哪種動作？,懸停。,側向懸停飛行。,向前懸停飛行。,向後懸停飛行。,C
第二章 基礎飛行原理,131,無人直昇機「向前懸停飛行」 ，係指保持不變的下列哪種狀態？,地面速度。,高度。,航向。,以上皆是。,D
第二章 基礎飛行原理,132,當必須移動無人直昇機到另一特定位置，但當時狀況不可能執行向前飛行時，就要使用 下列哪種動作？,側向懸停飛行或向後懸停飛行。,懸停轉彎。,平直飛行。,懸停。,A
第二章 基礎飛行原理,133,無人直昇機「側向懸停飛行」 ，係指保持不變的下列哪種狀態？,地面速度。,高度。,航向。,以上皆是。,D
第二章 基礎飛行原理,134,當必須移動無人直昇機到另一特定位置，但當時狀況不可能執行向前或側向懸停飛行 時，就要使用下列哪種動作？,平直飛行。,向後懸停飛行。,懸停轉彎。,傾斜轉彎。,B
第二章 基礎飛行原理,135,無人直昇機「向後懸停飛行」 ，係指保持不變的下列哪種狀態？,地面速度。,高度。,航向。,以上皆是。,D
第二章 基礎飛行原理,136,無人直昇機「平直飛行」 ，係指保持下列哪種狀態？,高度不變和航向不變。,高度不變和地面速度不變。,地面速度不變和航向不變。,主旋翼轉速不變和航向不變。,A
第二章 基礎飛行原理,137,無人直昇機「傾斜轉彎」 ，係指保持在向左或向右的傾斜狀態，保持下列哪種狀態之飛 行？,高度不變和航向不變。,高度改變，但航向不變。,高度不變，但航向改變。,高度改變和航向改變。,C
第二章 基礎飛行原理,138,無人直昇機「偏航」 ，係指利用尾旋翼推力執行下列哪種操縱？,改變高度。,改變航向。,改變地面速度。,改變升力。,B
第二章 基礎飛行原理,139,無人多旋翼機可以下列哪種方式來做區分？,旋翼數量。,旋翼分布位置。,旋翼是否能夠傾斜。,以上皆可。,D
第二章 基礎飛行原理,140,無人多旋翼機能夠垂直且穩定的執行下列哪種動作？,滾轉及水平平移。,升降及偏航。,偏航及水平平移。,俯仰及水平平移。,B
第二章 基礎飛行原理,141,無人多旋翼機具備優秀的下列哪種能力是一般無人飛機望塵莫及的？,垂直起降能力。,定點懸停能力。,穩定升降及偏航。,以上皆是。,D
第二章 基礎飛行原理,142,無人多旋翼機的下列哪種旋翼設計使得操控簡單且直接？,參差配置的。,對稱的。,不對稱的。,偏一邊的。,B
第二章 基礎飛行原理,143,定距槳無人多旋翼機與無人直昇機相比，在下列哪個方面有很大提升？,機械設計結構。,控制難度。,姿態平穩。,以上皆是。,D
第二章 基礎飛行原理,144,無人多旋翼機對飛行的影響是下列哪項？,沒有影響。,變得複雜。,變得簡單。,有時變得複雜，有時變得簡單。,C
第二章 基礎飛行原理,145,無人多旋翼機同時增加或減少每個旋翼的升力，來實現下列哪種飛行狀態？,垂直的升降姿態。,俯仰的姿態。,偏航的姿態。,滾轉的姿態。,A
第二章 基礎飛行原理,146,同時影響遙控無人機飛行性能與飛航安全的重要因素是下列哪些項目？,機體大小。,電池容量。,重量和重心位置。,以上皆是。,C
第二章 基礎飛行原理,147,操作人在飛行前應確認下列何者在合理範圍內？,重量。,重心。,酬載。,以上皆是。,D
第二章 基礎飛行原理,148,遙控無人機操作人在飛行前應詳細考量在下列哪種情況下可能降低飛行性能的載重因 素？,高海拔。,高溫。,高濕度。,以上皆是。,D
第二章 基礎飛行原理,149,遙控無人機重力的著力點稱為下列哪個項目？,形心。,氣動力中心。,重心。,升力中心。,C
第二章 基礎飛行原理,150,遙控無人機的下列哪個項目與穩定性有很大的關聯？,外觀。,重心。,大小。,顏色。,B
第二章 基礎飛行原理,151,當遙控無人機重心位置超出允許範圍時，可能導致遙控無人機發生下列哪種情形？,無法穩定起飛。,無法穩定落地。,失速。,以上皆是。,D
第二章 基礎飛行原理,152,遙控無人機飛行時，為產生各種姿態，作用於機身上的力為下列哪種情形？,升力通常較重量為大。,升力通常較重量為小。,有時升力較大，有時重量較大。,以上皆非。,A
第二章 基礎飛行原理,153,遙控無人機的轉彎率因不同的速度而隨之不同，這是為了要抵銷所增加的下列哪種力， 以保持負載係數不變？,向心力。,離心力。,正向力。,扭力。,B
第二章 基礎飛行原理,154,遙控無人機轉彎時，需執行下列哪個動作以補償升力的不足？,增加正向力。,增加攻角。,增加扭力。,增加離心力。,B
第二章 基礎飛行原理,155,無人飛機重心位置靠前時，為維持遙控無人機的俯仰平衡，需要尾翼提供下列哪種力？,更大的向前的推力。,更大的向上的升力。,更大的向下的升力。,更大的向外的離心力。,C
第二章 基礎飛行原理,156,遙控無人機重心位置靠前時，機頭較為沉重，起飛離地時有下列哪種情形？,較為困難。,較為容易。,有時容易有時困難。,以上皆非。,A
第二章 基礎飛行原理,157,無人飛機重心位置靠前時，會有下列哪種情形？,減少誘導阻力。,增大誘導阻力。,誘導阻力不變。,以上皆非。,B
第二章 基礎飛行原理,158,無人飛機重心位置靠前時，會有下列哪種情形？,油耗增加。,航程距離降低。,以上皆是。,以上皆非。,C
第二章 基礎飛行原理,159,無人飛機重心位置靠前時，提高了下列哪種風險？,不穩定進場的風險。,穩定進場的風險。,非精確進場的風險。,精確進場的風險。,A
第二章 基礎飛行原理,160,無人飛機重心後移時，由於機頭較輕，可能會使得起飛時發生下列哪種情形？,偏離跑道。,左右搖擺。,提前仰轉。,延後離地。,C
第二章 基礎飛行原理,161,無人飛機重心後移時，起飛爬升時可能會因仰角過大，而造成下列哪種情形？,起飛速度增加。,起飛重量降低。,失速與機尾擦地。,以上皆是。,C
第二章 基礎飛行原理,162,無人飛機重心後移時，配平及總阻力減小，也進而導致下列哪種情形？,油耗減少。,續航能力增加。,失速速度減小。,以上皆是。,D
第二章 基礎飛行原理,163,無人直昇機重心太靠後，會影響下列哪種性能？,高速前飛性能及穩定。,從地面到正常起飛。,平直飛行。,以上皆是。,A
第二章 基礎飛行原理,164,無人多旋翼機重心移動可能造成下列哪種結果？,升力增加。,操控較為困難。,阻力減少。,以上皆是。,B
第二章 基礎飛行原理,165,遙控無人機重量增加可能對起飛速度造成下列哪種結果？,降低起飛速度。,起飛速度不變。,提高起飛速度。,以上皆非。,C
第二章 基礎飛行原理,166,遙控無人機重量增加可能對滑行距離造成下列哪種結果？,縮短起飛滑行距離。,加長起飛滑行距離。,起飛滑行距離不變。,以上皆非。,B
第二章 基礎飛行原理,167,遙控無人機重量增加可能對爬升率及爬升角造成下列哪種結果？,降低爬升率和爬升角度。,增加爬升率和爬升角度。,爬升率和爬升角度不變。,以上皆非。,A
第二章 基礎飛行原理,168,遙控無人機重量增加可能對飛航最高高度造成下列哪種結果？,降低飛航最高高度。,增加飛航最高高度。,飛航最高高度不變。,以上皆非。,A
第二章 基礎飛行原理,169,遙控無人機重量增加可能對操作性能造成下列哪種結果？,操作性能不變。,增加操作性能。,降低操作性能。,以上皆非。,C
第二章 基礎飛行原理,170,遙控無人機重量增加可能對進場及降落速度造成下列哪種結果？,降低進場和降落速度。,提高進場和降落速度。,進場和降落速度不變。,以上皆非。,B
第二章 基礎飛行原理,171,遙控無人機重量增加可能對降落滾行距離造成下列哪種結果？,加長降落滾行距離。,縮短降落滾行距離。,降落滾行距離不變。,以上皆非。,A
第二章 基礎飛行原理,172,為確保飛行安全，操作人須審慎確認遙控無人機的下列哪個特性？,外觀。,重量與載重平衡。,價格。,以上皆是。,B
第二章 基礎飛行原理,173,低速、低空的中型無人機的動力裝置，使用下列哪種發動機？,往復式(活塞)發動機。,無刷電動馬達。,渦輪螺旋槳發動機。,渦輪發動機。,A
第二章 基礎飛行原理,174,使用於高速無人機上，推重比高但壽命短的動力裝置是下列哪種發動機？,渦輪發動機。,無刷電動馬達。,渦輪螺旋槳發動機。,往復式(活塞)發動機。,A
第二章 基礎飛行原理,175,高空或長滯空的大型無人機的動力裝置，使用下列哪種發動機？,渦輪發動機。,無刷電動馬達。,渦輪風扇或渦輪螺旋槳發動機。,往復式(活塞)發動機。,C
第二章 基礎飛行原理,176,娛樂 /運動級航空模型或小型無人機的動力裝置，一般使用下列哪種發動機？,渦輪發動機。,無刷電動馬達。,渦輪風扇或渦輪螺旋槳發動機。,往復式(活塞)發動機。,B
第二章 基礎飛行原理,177,隨著渦輪發動機推重比、壽命不斷提高、油耗降低，未來渦輪發動機可能取代下列哪種 發動機成為 25公斤至 150公斤級的無人機之主要動力？,無刷電動馬達。,渦輪風扇發動機。,渦輪螺旋槳發動機。,活塞發動機。,D
第二章 基礎飛行原理,178,一般遙控無人機目前多以下列哪些頻段進行控制與圖傳？,300MHz 或500MHz。,500MHz 或600MHz。,2.4GHz或5.8GHz。,100GHz或220GHz。,C
第二章 基礎飛行原理,179,頻段 2.4GHz主要為下列哪種鏈路實現對遙控無人機控制？,下行鏈路。,上行控制鏈路。,加密鏈路。,以上皆是。,B
第二章 基礎飛行原理,180,頻段 5.8GHz主要為下列哪種鏈路執行圖像或數據傳輸等遙測功能？,下行鏈路。,上行控制鏈路。,加密鏈路。,以上皆是。,A
第二章 基礎飛行原理,181,若無外力的影響，靜止的物體會保持靜止，行進的物體會保持直線運動，這就是下列哪 個定律？,牛頓第二定律又稱「加速度定律」 。,牛頓第三定律。,牛頓第一定律又稱「慣性定律」 。,以上皆非。,C
第二章 基礎飛行原理,182,當物體受到所施加的力等於每次的動量變化，這就是下列哪個定律？,牛頓第一定律又稱「慣性定律」 。,牛頓第二定律又稱「加速度定律」 。,牛頓第三定律。,以上皆非。,B
第二章 基礎飛行原理,183,牛頓第二定律說明加速度與物體的質量為下列哪種關係？,成反比。,成正比。,沒有關係。,以上皆非。,A
第二章 基礎飛行原理,184,牛頓第二定律說明加速度與所施加的力為下列哪種關係？,成反比。,成正比。,沒有關係。,以上皆非。,B
第二章 基礎飛行原理,185,對於每一個作用力，都有一個相等且相反的反作用力，這就是下列哪個定律？,牛頓第一定律又稱「慣性定律」 。,牛頓第三定律。,牛頓第二定律又稱「加速度定律」 。,以上皆非。,B
第二章 基礎飛行原理,186,下列哪些理論可以說明一個重於空氣的航空器如何產生升力飛行於空中？,流體的連續性和柏努利定律。,氣候學和大氣化學。,大氣動力學和大氣物理學。,材料力學和運動學。,A
第二章 基礎飛行原理,187,流體的連續性說明在同一時間內，流進任一切面和從另一切面流出的下列哪個項目是相 等的？,流體溫度。,流體壓力。,流體質量。,流體速度。,C
第二章 基礎飛行原理,188,由螺旋槳所產生的拉力或噴射發動機所產生的推力，使航空器前進飛行，是依據下列哪 個定律？,牛頓第三定律。,牛頓第一定律。,牛頓第二定律。,以上皆是。,A
第二章 基礎飛行原理,189,若螺旋槳整片槳葉的攻角都一樣，將使得槳葉的效率有下列哪種變化？,變得很好。,保持不變。,變得很差。,機時好時差。,C
第二章 基礎飛行原理,190,超過臨界攻角後，再增大攻角，會有下列哪種結果？,升力反而減小，阻力急劇增大。,升力持續增大，阻力急劇減小。,升力、阻力持續增大。,升力、阻力急劇減小。,A
第二章 基礎飛行原理,191,升力和阻力兩者與飛行速度的關係是下列哪種？,均與飛行速度成正比。,均與飛行速度成反比。,均與飛行速度的平方成正比。,均與飛行速度的平方成反比。,C
第二章 基礎飛行原理,192,放下遙控無人飛機襟翼可產生下列哪種結果？,使升力增大。,使升力減少。,使升力不變。,以上皆非。,A
第二章 基礎飛行原理,193,尾翼的作用是操縱無人飛機的下列哪些動作？,俯仰和滾轉。,滾轉和偏航。,俯仰和偏航。,以上皆非。,C
第二章 基礎飛行原理,194,航空器主要係利用副翼改變下列哪種姿態？,俯仰。,左右滾轉。,偏航。,以上皆是。,B
第二章 基礎飛行原理,195,想像為一條左右兩側穿過航空器的軸，稱之為下列哪個軸？,航空器縱軸( X軸) 。,航空器垂直軸( Z軸) 。,航空器橫軸( Y軸) 。,以上皆非。,C
第二章 基礎飛行原理,196,航空器利用升降舵改變下列哪種姿態？,左右滾轉。,俯仰。,偏航。,以上皆非。,B
第二章 基礎飛行原理,197,航空器利用方向舵改變下列哪種姿態？,俯仰。,偏航。,左右滾轉。,以上皆非。,B
第二章 基礎飛行原理,198,作用於遙控無人機的各外力之和、各力矩之和都為零，是指遙控無人機的下列哪種特 性？,穩定性。,操縱性。,平衡性。,以上皆非。,C
第二章 基礎飛行原理,199,當遙控無人機受到微小擾動而偏離原來的平衡狀態時，在擾動消失後，不經操作人操 縱，自動恢復原來平衡狀態的特性，是指遙控無人機的下列哪種特性？,平衡性。,穩定性。,操縱性。,以上皆非。,B
第二章 基礎飛行原理,200,操作無人飛機時，當升降舵控制往上，相對於「機體中心」作下列哪種動作？,向下俯仰。,向上俯仰。,右滾。,左滾。,B
第二章 基礎飛行原理,201,操作無人飛機時，當升降舵控制往下，飛機相對於「機體中心」作下列哪種動作？,向下俯仰。,向上俯仰。,右滾。,左滾。,A
第二章 基礎飛行原理,202,當無人直昇機的發動機讓主旋翼以逆時針方向旋轉時，無人直昇機本身將以下列哪個方 向旋轉？,以順時針方向旋轉。,以逆時針方向旋轉。,先以順時針方向旋轉，再以逆時針方向旋轉。,先以逆時針方向旋轉，再以順時針方向旋轉。,A
第二章 基礎飛行原理,203,無人直昇機為了抵銷扭力，在設計上使用尾旋翼在機尾產生一個向右的力，稱為下列哪 種力？,尾旋翼升力。,尾旋翼阻力。,尾旋翼推力。,尾旋翼壓力。,C
第二章 基礎飛行原理,204,無人直昇機「懸停」 ，係指保持幾乎不動的飛行，並保持下列哪種狀態？,主旋翼轉速不變和航向不變。,高度不變和航向不變。,主旋翼轉速不變和高度不變。,以上皆非。,B
第二章 基礎飛行原理,205,無人直昇機「從懸停到正常起飛」 ，係指有順序的轉換到向前飛行，執行時應安全且迅速 的採取下列哪種動作？,改變航向。,增加地面速度。,增加高度。,增加主旋翼轉速。,C
第二章 基礎飛行原理,206,無人直昇機「從地面到正常起飛」 ，係指使用下列哪個動作，將直昇機從地面移動到有效 轉換升力及正常爬升？,最小的所需動力。,最大的所需動力。,最小的地面速度。,最大的地面速度。,A
第二章 基礎飛行原理,207,無人多旋翼機是一種經由多個定距槳的正反旋轉與轉速控制，提供下列哪些性能調整？,阻力與推力調整。,重心與阻力調整。,升力與姿態調整。,升力與重心調整。,C
第二章 基礎飛行原理,208,無人多旋翼機旋翼以不同方向旋轉，抵消反作用力，使產生下列哪項結果？,使總力矩為零。,使總推力為零。,使總升力為零。,使總阻力為零。,A
第二章 基礎飛行原理,209,無人多旋翼機可以直接採用下列哪種螺旋槳？,定距槳。,變距槳。,恆速槳。,以上皆非。,A
第二章 基礎飛行原理,210,無人多旋翼機改變前後兩端旋翼的升力，使之不平衡，來實現下列哪種姿態？,垂直的升降姿態。,俯仰的姿態。,偏航的姿態。,滾轉的姿態。,B
第二章 基礎飛行原理,211,無人多旋翼機同時減少或增加斜對角兩對旋翼轉速與升力，來實現下列哪種姿態？,垂直的升降姿態。,俯仰的姿態。,偏航的姿態。,滾轉的姿態。,C
第二章 基礎飛行原理,212,無人多旋翼機改變橫向兩端旋翼的升力，使之不平衡，來實現下列哪種姿態？,垂直的升降姿態。,偏航的姿態。,俯仰的姿態。,滾轉的姿態。,D
第二章 基礎飛行原理,213,在空氣動力學裡，負載係數定義為下列哪個比值？,升力與重力之比值。,阻力與重力之比值。,推力與重力之比值。,升力與阻力之比值。,A
第二章 基礎飛行原理,214,遙控無人機飛行時會產生各種姿態，負載係數即能表達下列哪個項目？,巡航速度。,姿態動作的大小。,飛行距離。,續航時間。,B
第二章 基礎飛行原理,215,遙控無人機在進行協調轉彎時，負載係數是基於下列哪些力的結果？,升力和重力。,推力和重力。,離心力和重力。,阻力和重力。,C
第二章 基礎飛行原理,216,遙控無人機轉彎時，機翼必須產生足以與負載係數相等的升力，以達到下列哪個目的？,維持高度。,維持速度。,維持航向。,維持發動機轉速。,A
第二章 基礎飛行原理,217,無人飛機重心位置靠前時，受到配平以及總阻力的增加的影響，為了保持飛行速度不 變，必須採取下列哪種手段？,增加發動機推力。,減少發動機推力。,先增加然後減少發動機推力。,先減少然後增加發動機推力。,A
第二章 基礎飛行原理,218,無人飛機重心位置靠前時，低速飛行時，為了穩定較強的俯仰姿態，可能會有下列哪種 情形導致提高不穩定進場的風險？,配平可能不足。,配平可能過大。,滾轉可能不足。,滾轉可能過大。,A
第二章 基礎飛行原理,219,無人飛機重心後移時，若進入到下列哪種情形時，會較難改正？,滾轉角變小。,螺旋失速。,偏航角變小。,攻角變小。,B
第二章 基礎飛行原理,220,無人直昇機重心太前，會抑制下列哪種性能？,平直飛行。,向後飛及懸停低速。,從地面到正常起飛。,以上皆是。,B
第二章 基礎飛行原理,221,無人飛機重量增加可能造成下列哪種結果？,降低失速速度。,提高失速速度。,失速速度不變。,以上皆非。,B
第二章 基礎飛行原理,222,遙控無人機保持平飛，飛行速度越大則升力與阻力會有下列哪種結果？,升力、誘導阻力越小。,升力不變、寄生阻力越大。,升力越大、誘導阻力越小。,升力不變、誘導阻力越大。,B
第二章 基礎飛行原理,223,無人機正以航向 90接近機場，請問此無人機目前在機場的下列哪一個方向？,北方。,西方。,東方。,南方。,B
第二章 基礎飛行原理,224,在作飛行規畫或操作無人機時，操作人手上有多項重量和平衡的資訊，依日期先後排 列，包括 a. 2016/8/15 (無人機出廠時) ， b. 2016/10/18 ，c. 2016/12/27 ，d. 2017/2/8 ，e.  2017/6/19 (無人機上次飛行時) ， f. 2017/9/20 ，操作人應使用下列哪一項？,2017/9/20 重量和平衡的資訊。,2016/8/15 (無人機出廠時)重量和平衡資訊。,2017/6/19 (無人機上次飛行時)重量和平衡資訊。,任一項的重量和平衡資訊。,A
第二章 基礎飛行原理,225,請問下列哪一種情況，可以視為上傳鏈路失效？,操作人無法目視到無人機。,無人機不執行地面控制站上傳的控制命令。,操作人與塔台間的通訊斷訊。,無人機無法將自身狀態(速度、高度、位置、設備狀態等)以及相關任務數據發回 地面控制站。,B
第二章 基礎飛行原理,226,請問上傳鏈路失效通常是下列哪一種原因？,GPS失效。,地面控制站天線附近站了太多人。,無人機飛出操作人目視範圍以外。,頻率干擾。,D
第二章 基礎飛行原理,227,慣性導航系統( Inertial Navigation System ，INS)是一種不依賴於外部資訊、也不向外部 輻射能量(如無線電導航那樣)的自主式導航系統。慣性導航的基本工作原理是下列哪 一項？,以天體力學定律為基礎，以星座獲得位置，經幾何運算得到速度、加速度等資訊。,以幾何力學定律為基礎，以磁場獲得位置，經三角運算得到速度、加速度等資訊。,以牛頓力學定律為基礎，以 GPS獲得位置，微分得到速度，再微分得到加速度等資 訊。,以牛頓力學定律為基礎，以加速度計獲得加速度，積分得到速度，再積分得到位置 等資訊。,D
第二章 基礎飛行原理,228,下列何者為遙控無人機運作之核心，主要執行起飛、航 行、返場降落及回收等動作？,導航系統。,動力系統。,飛行控制系統。,無線遙控系統。,C
第二章 基礎飛行原理,229,航空模型上沒有 GPS，也沒有高度計，請問操作人應如何判斷 400英呎飛行高度？,在飛行前獲得地面上離無人機 400英呎的目測概念作飛行高度參考。,該無人機飛行時，操作另一架有高度計的無人機到 400英呎作飛行高度參考。,操作該無人機到 400英呎高塔旁邊作飛行高度參考。,操作該無人機到兩座已知高度建築物中間作飛行高度參考。,A
第二章 基礎飛行原理,230,當準備在無人機上安裝攝影機或其他酬載時，操作人應有如何的認知？,超出無人機重量限制和重心範圍一點點，不影響安全。,先測試看看，只要飛的起來就沒問題。,即使超出重心範圍，但只要在重量限制內，透過高超的操作技巧一樣能夠飛行。,不超出無人機重量限制和重心範圍。,D
第二章 基礎飛行原理,231,假設無人飛機最大起飛重量 102磅，重心範圍(參考面在機鼻) 25~27英吋。某次飛行 前稱重，空重(含燃油) 50磅、力臂 20英吋，前艙酬載 20磅、力臂 10英吋，後艙酬 載30磅、力臂 40英吋，總重 100磅，重心 24英吋，請問操作人應採取下列哪一項動 作？,前艙酬載往前移動 2.6英吋。,後艙酬載往後移動 3.4英吋。,後艙酬載配重增加 2.5磅。,前艙酬載配重增加 1.2磅。,B
第二章 基礎飛行原理,232,"無人機正以空速保持( 40 kts)及姿態保持在往東飛行，無人機經緯度為 E 121∘10′ 00""，N 22∘20′30""，此時為靜風，無人機要飛到 E 121∘30′00""，N 22∘20′30""執行 任務，請問無人機還要約多少時間才會抵達？",10分鐘。,20分鐘。,30分鐘。,40分鐘。,C
第二章 基礎飛行原理,233,無人機正在平直飛行時，因任務需要必須快速增加高度，請問操作人應採取下列哪一項 動作？,將動力加到最大，攻角越大越好，以得到最大爬升率。,保持動力，快速增大攻角，注意不超過臨界攻角。,將動力加到最大，以最佳爬升角空速執行爬升，在一定距離產生最大高度增加。,將動力加到最大，以最佳爬升率空速執行爬升，注意不超過臨界攻角。,D
第二章 基礎飛行原理,234,機場跑道地面風約為正南風，使用跑道為南北向，請問一般航空器在操作時應選擇哪一 方向的跑道？,18跑道。,27跑道。,09跑道。,36跑道。,A
第三章 氣象,1,當空氣密度增加時，對飛機升力的影響為何者？,升力增加。,升力降低。,升力不變。,升力有時增加有時降低。,A
第三章 氣象,2,下列何者非影響空氣密度之因素？,高度。,溫度。,濕度。,應力。,D
第三章 氣象,3,當空氣中分子較少且稀薄，表示其密度高度為何？,越高。,越低。,可能高也可能低。,無法判斷。,A
第三章 氣象,4,當空氣中分子較多且濃厚，表示其密度高度為何？,越高。,越低。,可能高也可能低。,無法判斷。,B
第三章 氣象,5,高密度高度之環境比較不會出現於下列何處？,低海拔處。,高溫處。,非常潮濕之處。,低大氣壓力之處。,A
